epoch,accuracy,loss,val_accuracy,val_loss
0,0.3772488236427307,1.3203023672103882,0.4495677351951599,1.2611377239227295
1,0.6376972198486328,0.9884286522865295,0.6368876099586487,0.9202969074249268
2,0.796291172504425,0.5793710947036743,0.7089337110519409,0.7822840809822083
3,0.8502629399299622,0.41177448630332947,0.7089337110519409,0.7488068342208862
4,0.8915029168128967,0.32218676805496216,0.7175792455673218,0.7737137675285339
5,0.9075560569763184,0.26150691509246826,0.7262247800827026,0.8174765706062317
6,0.9327428936958313,0.21505121886730194,0.7089337110519409,0.8607257008552551
7,0.9446443319320679,0.18196676671504974,0.7060518860816956,0.9035879969596863
8,0.9490727782249451,0.15482167899608612,0.7089337110519409,0.9287631511688232
9,0.9593135714530945,0.1331292986869812,0.7060518860816956,0.9850016236305237
10,0.9695543646812439,0.11663184314966202,0.7031700015068054,1.0654252767562866
11,0.9684472680091858,0.10888244956731796,0.7089337110519409,1.053307294845581
12,0.9690008163452148,0.09917324036359787,0.7118155360221863,1.107306957244873
13,0.9676169157028198,0.09477968513965607,0.7175792455673218,1.139319658279419
14,0.973429262638092,0.08626504242420197,0.7060518860816956,1.1617906093597412
15,0.971491813659668,0.08308134227991104,0.7002881765365601,1.1877683401107788
16,0.9739828109741211,0.07511641830205917,0.6945244669914246,1.2159171104431152
17,0.9773041605949402,0.07603432983160019,0.6945244669914246,1.2407174110412598
18,0.9767506122589111,0.0716620460152626,0.6974063515663147,1.2716574668884277
19,0.974259614944458,0.07125678658485413,0.7089337110519409,1.2643927335739136
20,0.9786880612373352,0.06471332162618637,0.6887608170509338,1.308876633644104
21,0.9761970639228821,0.06772290170192719,0.7002881765365601,1.2813551425933838
22,0.9781345129013062,0.06276234239339828,0.7002881765365601,1.373870849609375
23,0.9778577089309692,0.05954275652766228,0.7118155360221863,1.3422728776931763
24,0.9775809645652771,0.06497303396463394,0.7175792455673218,1.3542256355285645
